---
# FILENAME: New Recording 14.txt
---
# Transcript for New Recording 14.m4a
# Language: ru, prob=1.00

[   0.00 -    2.32] Сказывал, да, получается, такие вещи.
[   3.56 -    7.72] То есть вроде бы 4 дня мало, 5 дней, окей.
[   7.72 -   10.76] Но все время зарегулированные 5 дней.
[  11.76 -   12.92] Тоже не окей.
[  13.40 -   15.96] То есть надо отдавать какой-то...
[  16.76 -   17.92] Какие-то дырки.
[  18.76 -   20.44] Но как-то так мы с ней решили.
[  21.84 -   23.12] Это первое.
[  23.12 -   23.96] Второе.
[  25.16 -   26.56] Мы поднимаем цены.
[  27.28 -   28.28] И посмотрим.
[  29.24 -   30.96] Что из этого получится.
[  31.72 -   33.84] И мы решили поднять цену.
[  36.00 -   37.80] Включая поездку.
[  37.80 -   39.80] Туда будет входить поездка.
[  39.80 -   40.96] Колбавра Алто.
[  42.12 -   43.64] 1550.
[  48.00 -   48.84] Посмотрим.
[  48.84 -   51.64] Потому что сейчас, все, кто едет,
[  51.64 -   56.08] они уже, либо люди, как мы с тобой говорили, состоятельные.
[  56.08 -   57.84] Либо что-то еще, но еще посмотрим.
[  58.84 -   60.04] Нет так нет.
[  62.60 -   63.72] Третий момент.
[  63.72 -   68.72] У нас примерно сложилось, очень кратко, конечно, бесподробностей.
[  71.64 -   73.96] Как мы будем ходить.
[  77.64 -   80.00] Тема остается, как я тебе говорила, да?
[  80.84 -   81.84] Ардыко.
[  81.84 -   96.87] Конечно, написала мне.
[  96.87 -   98.87] Первый день 15 октября.
[  98.87 -   99.87] Правой берег.
[ 101.70 -  103.22] Дынье Легор.
[1949.83 - 1951.83] более сплавленные, такие
[1951.83 - 1953.83] губионики. Ну вот, например, вот тот же
[1953.83 - 1955.83] самый. Я говорю, сначала цвет.
[1955.83 - 1957.83] И опять контраст. Сначала цветы и дальше
[1957.83 - 1959.83] объемы. Дальше объем и форма.
[1959.83 - 1961.83] Объем и форма. Рассматриваем.
[1961.83 - 1963.83] И опять видим тот же самый
[1963.83 - 1965.83] прекрасный прием. Контраст.
[1965.83 - 1967.83] Жесткие, геометрические формы
[1967.83 - 1969.83] с этим. То есть у нас тема
[1969.83 - 1971.83] допустим, контраст, на что мы
[1971.83 - 1973.83] обращаем внимание. Посмотрели.
[1973.83 - 1975.83] Объем, формы посмотрели.
[1975.83 - 1977.83] Оценили и как они вообще
[1977.83 - 1979.83] складываются.
[1979.83 - 1981.83] Есть сложно составляющие формы.
[1981.83 - 1983.83] Вот есть простые геометрические формы.
[1983.83 - 1985.83] И бионика довольно
[1985.83 - 1987.83] простая тоже. Есть сложно
[1987.83 - 1989.83] составляющие формы. Еще плюс
[1989.83 - 1991.83] и наскольптур.
[1991.83 - 1993.83] Дальше мы обращали внимание на детали.
[1993.83 - 1995.83] Детали, в том числе,
[1995.83 - 1997.83] которые касаются арт. Или
[1997.83 - 1999.83] на материалы. Все равно. То есть
[1999.83 - 2001.83] так и так можно сделать.
[2001.83 - 2003.83] Разобрали, что здесь есть
[2003.83 - 2005.83] с артом. Да, с деталями, какие
[2005.83 - 2007.83] они есть. И разобрали тоже
[2007.83 - 2009.83] в том числе, с точки зрения материалов
[2009.83 - 2011.83] пока мы не знаем.
[2011.83 - 2013.83] Мы пока ничего не сказали про освещенность.
[2013.83 - 2015.83] Это включается в свет.
[2015.83 - 2017.83] Мы пока ничего не сказали про освещенность.
[2017.83 - 2019.83] На картинке в свет. Мы здесь
[2019.83 - 2021.83] оценить его не можем.
[2021.83 - 2023.83] Просто когда вы будете ходить по этому отелю.
[2023.83 - 2025.83] Обязательно. Обязательно.
[2025.83 - 2027.83] На картинке мы вас сменим.
[2027.83 - 2029.83] Это самое тонкое
[2029.83 - 2031.83] категорию
[2031.83 - 2033.83] восприятия.
[2033.83 - 2035.83] Которые о фотографии
[2035.83 - 2037.83] очень сложно оценить.
[2037.83 - 2039.83] Можно представить.
[2039.83 - 2041.83] Но мы здесь хорошо представляем, что
[2041.83 - 2043.83] днем здесь светло.
[2043.83 - 2045.83] Мы хорошо представляем.
[2045.83 - 2047.83] Каким она играет, не понятно.
[2047.83 - 2049.83] Окон нам даёт
[2049.83 - 2051.83] что вечером мы понятием.
[2051.83 - 2053.83] Да.
[2053.83 - 2055.83] Можно пофантазировать.
[2055.83 - 2057.83] А как раз у Деньё
[2057.83 - 2059.83] с освещением. Очень интересно.
[2059.83 - 2061.83] Особенно там
[2061.83 - 2063.83] в разных местах.
[2063.83 - 2065.83] И это то, что оценивается
[2065.83 - 2067.83] только не по... Вообще освещение
[2067.83 - 2069.83] оценивается
[2069.83 - 2071.83] в большей степени, непосредственным опытом.
[2071.83 - 2073.83] Я всегда говорю о том, что
[2073.83 - 2075.83] нам очень трудно...
[2075.83 - 2077.83] Сейчас, ты спросил,
[2077.83 - 2079.83] я тебе чаю покажу.
[2079.83 - 2081.83] Нам очень трудно даже нам, преподавательам
[2081.83 - 2083.83] комиссии, оценить вашу работу
[2083.83 - 2085.83] с освещением на проекте.
[2085.83 - 2087.83] Мы всегда попадаем пальцем
[2087.83 - 2089.83] в небо.
[2089.83 - 2091.83] Да, я говорю, для меня, например, самый
[2091.83 - 2093.83] трепетный момент.
[2093.83 - 2095.83] Если я работаю с освещением
[2095.83 - 2097.83] и в объекте
[2097.83 - 2099.83] включить свет
[2099.83 - 2101.83] чтобы получилось
[2101.83 - 2103.83] насколько. И там будет
[2103.83 - 2105.83] и я понимаю, что будет ещё
[2105.83 - 2107.83] коррекция определённой благо.
[2107.83 - 2109.83] Сейчас такие технологии,
[2109.83 - 2111.83] что дают возможность коррекции.
[2111.83 - 2113.83] Например, слишком холодно.
[2113.83 - 2115.83] Заменим лампочки
[2115.83 - 2117.83] источники. Не саму лю...
[2117.83 - 2119.83] не саму люстру источники.
[2119.83 - 2121.83] Заменим на тепло.
[2121.83 - 2123.83] Или возьмём сразу такое
[2123.83 - 2125.83] такое освещение, что можно
[2125.83 - 2127.83] тепло и холодно делать.
[2127.83 - 2129.83] Да, понимаешь, да?
[2129.83 - 2131.83] Есть коррекция. Димир есть.
[2131.83 - 2133.83] Слишком ярко.
[2133.83 - 2135.83] Да, ну у тебя есть, у меня можно только два измерения.
[2135.83 - 2137.83] Да, у тебя есть мощность.
[2137.83 - 2139.83] Ты можешь мощность туда-сюда крутить
[2139.83 - 2141.83] тепло.
[2141.83 - 2143.83] И направление.
[2143.83 - 2145.83] А, направление не учёб.
[2145.83 - 2147.83] Ну так, направление очень много.
[2147.83 - 2149.83] Ну, косметически тоже.
[2149.83 - 2151.83] Ну да, ну ты не переносишь светильники по столбам.
[2151.83 - 2153.83] По подолку.
[2153.83 - 2155.83] А я могу такой светильник подобрать, если я умница.
[2155.83 - 2157.83] Что у меня могут направления вот этих вот
[2157.83 - 2159.83] вот расшираться.
[2159.83 - 2161.83] Да, да, но он всё равно будет как-будто из одного.
[2161.83 - 2163.83] То есть пока ещё не делают так, что дайка я сюда
[2163.83 - 2165.83] лампу перебей.
[2165.83 - 2167.83] Делают? Делают.
[2167.83 - 2169.83] Такой компанию совершенно невозможно.
[2169.83 - 2171.83] Вот это невозможно.
[2171.83 - 2173.83] Это галансы, которые
[2173.83 - 2175.83] решили по-моему все проблемы.
[2175.83 - 2177.83] Но все дырки закрыли,
[2177.83 - 2179.83] когда ты трепетно
[2179.83 - 2181.83] планируешь освещение дизайнерское.
[2181.83 - 2183.83] На какой высоте повесить
[2183.83 - 2185.83] светильник над столом,
[2185.83 - 2187.83] чтобы это было идеально.
[2187.83 - 2189.83] И так дальше. Ты можешь
[2189.83 - 2191.83] работать с сиргановикой
[2191.83 - 2193.83] и с гостами, но всё равно
[2193.83 - 2195.83] можешь как-то не попасть.
[2195.83 - 2197.83] Подтягивать придётся или наоборот.
[2197.83 - 2199.83] Или чивать какую-то коррекцию.
[2199.83 - 2201.83] А у тебя на пультике раз ты увидел,
[2201.83 - 2203.83] что...
[2203.83 - 2205.83] поднимается на пультике.
[2205.83 - 2207.83] У тебя стол вот круглый, допустим,
[2207.83 - 2209.83] да, как у меня. И тут
[2209.83 - 2211.83] висит светильник. Я не знал, что уже так делается.
[2211.83 - 2213.83] Тут висит светильник, светильник, который вот здесь.
[2213.83 - 2215.83] Я понимаю. Я раздвигаю стол
[2215.83 - 2217.83] и я могу раздвинуть стол, вообще, там, на 12
[2217.83 - 2219.83] человек. И у меня светильник.
[2221.83 - 2223.83] А есть, есть, который умеет двигаться по
[2223.83 - 2225.83] вот прям... Если у тебя направляющий...
[2225.83 - 2227.83] Вот, считай, у меня здесь нет
[2227.83 - 2229.83] стены. Если у тебя... У тебя вставленные
[2229.83 - 2231.83] направляющие... Да, я понимаю. Давай мы сейчас возьмём
[2231.83 - 2233.83] как ширму. Ну, не ширму, не ширму.
[2233.83 - 2235.83] Пожалуйста, у тебя есть направляющие
[2235.83 - 2237.83] внешние, строенные.
[2237.83 - 2239.83] Пожалуйста, сегодня
[2239.83 - 2241.83] технологии световые,
[2241.83 - 2243.83] изумительные абсолютно,
[2243.83 - 2245.83] они дорогие.
[2245.83 - 2247.83] Потому что это всё это... Это всё-таки инновация.
[2247.83 - 2249.83] Всё это не стандарт. Да, это не стандарт.
[2249.83 - 2251.83] Вообще не стандарт. Она спустится, но там,
[2251.83 - 2253.83] через 20 лет. Да, да, да.
[2253.83 - 2255.83] Да, это дорогая история.
[2255.83 - 2257.83] Поэтому большинстве
[2257.83 - 2259.83] мы бы... Всё, ты примерно ответил
[2259.83 - 2261.83] про свет. То есть свет...
[2261.83 - 2263.83] Это очень важно. И...
[2263.83 - 2265.83] Как, мне кажется,
[2265.83 - 2267.83] да нет, везде важно.
[2267.83 - 2269.83] Но освещение очень важно
[2269.83 - 2271.83] вот этот вот опыт.
[2271.83 - 2273.83] Смотрите, видеть. А почему здесь
[2273.83 - 2275.83] вот такое впечатление?
[2275.83 - 2277.83] Да? Но самое важное,
[2277.83 - 2279.83] что мы делаем? Про чего мы это всё рассматриваем?
[2279.83 - 2281.83] Ради того, чтобы понять
[2281.83 - 2283.83] ключ к атмосфере.
[2283.83 - 2285.83] Это мне понятно. Всё.
[2285.83 - 2287.83] Короче, вот свет, я тебе
[2287.83 - 2289.83] сказал, освещение, вернее,
[2289.83 - 2291.83] не света, освещение.
[2291.83 - 2293.83] Это очень трепетная тема.
[2293.83 - 2295.83] И, конечно же,
[2295.83 - 2297.83] мы рассматриваем фактуры
[2297.83 - 2299.83] и текстуры. И пытаемся
[2299.83 - 2301.83] понять, за что они отвечают. Ну, например,
[2301.83 - 2303.83] вот здесь много бархатных фактуры, текстуры, да, вот
[2303.83 - 2305.83] таких вот пушистых. За что отвечают важные?
[2305.83 - 2307.83] Что это за текст? Мы пишем тексты всегда
[2307.83 - 2309.83] в интерьере. Мы рассказываем
[2309.83 - 2311.83] с помощью этих... Что?
[2311.83 - 2313.83] Не, это метафор. А я люблю.
[2313.83 - 2315.83] Потому что мы говорим... Смотри,
[2315.83 - 2317.83] бархат где появляется? Что это за текст?
[2317.83 - 2319.83] Что это за метафор?
[2319.83 - 2321.83] Бархат.
[2321.83 - 2323.83] Ты привычный человек.
[2323.83 - 2325.83] Это всегда, это всегда трансляция
[2325.83 - 2327.83] ну,
[2327.83 - 2329.83] а какого-то буржуазного и
[2329.83 - 2331.83] атакового гиденестического плана.
[2331.83 - 2333.83] Мне не нравится метафора текстов.
[2333.83 - 2335.83] А мне нравится.
[2335.83 - 2337.83] Это называется текст.
[2337.83 - 2339.83] Хорошо. Конотация.
[2339.83 - 2341.83] Давай конотация скажем.
[2341.83 - 2343.83] Отличный конотация.
[2343.83 - 2345.83] Хорошо. Да, разумеется, у них есть
[2345.83 - 2347.83] конотация.
[2347.83 - 2349.83] Каждая текстура, вот, говори, давайте
[2349.83 - 2351.83] сейчас смотрите, чтобы понять
[2351.83 - 2353.83] сколько это... Да, это второй слой.
[2353.83 - 2355.83] То есть, смотри. Насколько... Это не второй, это
[2355.83 - 2357.83] четвертый уже. Нет, я имею в виду,
[2357.83 - 2359.83] почему, что я имею в виду, в трену слой, ты поймешь.
[2359.83 - 2361.83] Значит, у меня на первом слое есть
[2361.83 - 2363.83] чувственное
[2363.83 - 2365.83] чувственное схватывание.
[2365.83 - 2367.83] В том числе различные контрасты.
[2367.83 - 2369.83] В том числе контраст по цвету. В том числе
[2369.83 - 2371.83] контраст по веом. В зрительной ты имеешь в виду
[2371.83 - 2373.83] или тактильной. Из зрительной и тактильной.
[2373.83 - 2375.83] Я, когда чувствую вот это,
[2375.83 - 2377.83] вот это, я еще не думаю,
[2377.83 - 2379.83] что это богатство в
[2379.83 - 2381.83] долю секунды. Есть непосредственные ощущения.
[2381.83 - 2383.83] И вот есть вот это контраст, например,
[2383.83 - 2385.83] мрамора и...
[2385.83 - 2387.83] Холодного и тепло. Нет, я имею в виду,
[2387.83 - 2389.83] сейчас именно фактурный,
[2389.83 - 2391.83] текстурный. Что у тебя есть, вот.
[2391.83 - 2393.83] Жесткая, холодная,
[2393.83 - 2395.83] мягкая, теплая.
[2395.83 - 2397.83] До всяких коннотаций
[2397.83 - 2399.83] богатая, небогатая.
[2399.83 - 2401.83] И дальше начинается, почему я говорю второго,
[2401.83 - 2403.83] я не имею в виду.
[2403.83 - 2405.83] И дальше начинаются коннотации.
[2405.83 - 2407.83] Да, дальше начинай, как бы расшифровка.
[2407.83 - 2409.83] Нет, ассоциации.
[2409.83 - 2411.83] Вязные ссоциации.
[2411.83 - 2413.83] Потому что ребенок, ребенок, не знает,
[2413.83 - 2415.83] что это богато.
[2415.83 - 2417.83] Но он знает, что это приятно.
[2417.83 - 2419.83] Да, ну понятно.
[2419.83 - 2421.83] И вот эти дети, эти интерьеры, явно.
[2421.83 - 2423.83] Для людей, которые...
[2423.83 - 2425.83] Нет, я хочу почитать просто, что коннотация
[2425.83 - 2427.83] она чуть-чуть запасная.
[2427.83 - 2429.83] Да, и вот это вот...
[2429.83 - 2431.83] И опять, и в материалах, когда мы видим
[2431.83 - 2433.83] профессиональные интерьеры, это уже контрасты.
[2433.83 - 2435.83] Потому что контрасты всегда дают впечатление.
[2435.83 - 2437.83] Это все глядно.
[2437.83 - 2439.83] Это может ли не объяснять.
[2439.83 - 2441.83] И это... Мы, конечно, можем...
[2441.83 - 2443.83] Вот, смотрите, мы разобрали это все
[2443.83 - 2445.83] на картинке.
[2445.83 - 2447.83] Да?
[2447.83 - 2449.83] Где у нас конспективно это в голову вошло.
[2449.83 - 2451.83] Ну, мы до конца
[2451.83 - 2453.83] не прочувствовали это.
[2453.83 - 2455.83] Да, конечно, да. Потому что...
[2455.83 - 2457.83] Я говорю, моя цель, дать конспект,
[2457.83 - 2459.83] что теперь, когда вы заходите в интерьер,
[2459.83 - 2461.83] вы начинаете вот таким образом,
[2461.83 - 2463.83] как профессионалы,
[2463.83 - 2465.83] его расшифровывать.
[2465.83 - 2467.83] Смотреть на него таким образом.
[2469.83 - 2471.83] И здесь, и понимать,
[2471.83 - 2473.83] почему это вам нравится,
[2473.83 - 2477.14] почему нет.
[2477.14 - 2479.14] И понимать, уже
[2479.14 - 2481.14] более осознанно.
[2481.14 - 2483.14] А не просто нравится, не нравится.
[2483.14 - 2485.14] Ну вот, как-то так.
[2485.14 - 2487.14] Да.
[2487.14 - 2489.14] А когда мы заходим, вот,
[2489.14 - 2491.14] считаем, и где рано зашли,
[2491.14 - 2493.14] да, очень я мечтаю попасть.
[2493.14 - 2495.14] Может, Наташке удастся договориться.
[2495.14 - 2497.14] Обожаю я его.
[2497.14 - 2499.14] И...
[2499.14 - 2501.14] Всего вот, этими
[2501.14 - 2503.14] прекрасными...
[2503.14 - 2505.14] О, дорогу богато, говори про коннатацию.
[2505.14 - 2507.14] Да, но понимаешь,
[2507.14 - 2509.14] дорога богата, но это тебе не дворцы,
[2509.14 - 2511.14] не влог, посмотри здесь,
[2511.14 - 2513.14] совершенно минималистично.
[2513.14 - 2515.14] Вот недвижка в таком районе Парижа,
[2515.14 - 2517.14] она стоит очень дорого.
[2517.14 - 2519.14] Это мы сейчас понимаем, но ты видишь,
[2519.14 - 2521.14] здесь же нет такой демонстрации влог,
[2521.14 - 2523.14] у меня много золота, бриллиантов,
[2523.14 - 2525.14] это так же.
[2525.14 - 2527.14] Это не демонстрация?
[2527.14 - 2529.14] Это не демонстрация дворцового
[2529.14 - 2531.14] ассистена.
[2531.14 - 2533.14] Ну да, ну это типа, это необлазельская
[2533.14 - 2535.14] жизнь? Нет, нет, нет, нет.
[2535.14 - 2537.14] Даже вот это казалось бы, да,
[2537.14 - 2539.14] такие тихие белые интерьеры
[2539.14 - 2541.14] сами предметы нам
[2541.14 - 2543.14] говорят об очень многом.
[2543.14 - 2545.14] Раскошное, винтажное, ордыкошное
[2545.14 - 2547.14] зеркало.
[2547.14 - 2549.14] Мы понимаем,
[2549.14 - 2551.14] сколько она стоит.
[2551.14 - 2553.14] Стул, плотнера и так далее,
[2553.14 - 2555.14] да, какая-то материальная
[2555.14 - 2557.14] база. Видишь, по...
[2557.14 - 2559.14] с точки зрения цвета все очень просто.
[2559.14 - 2561.14] А вечка здесь стоит прекрасная.
[2561.14 - 2563.14] Обожаю, когда есть такие живые,
[2563.14 - 2565.14] как бы,
[2565.14 - 2567.14] ассоциации.
[2567.14 - 2569.14] А это
[2569.14 - 2571.14] другая,
[2571.14 - 2573.14] другой тип эстетики.
[2573.14 - 2575.14] Тоже французы.
[2575.14 - 2577.14] Я показываю, что
[2577.14 - 2579.14] сегодня нет диктатостиля,
[2579.14 - 2581.14] нет диктатостиля,
[2581.14 - 2583.14] слава Богу, да, можем в тот выбирать.
[2583.14 - 2585.14] И здесь
[2585.14 - 2587.14] язык
[2587.14 - 2589.14] несколько иной, хотя тоже
[2589.14 - 2591.14] винтаж,
[2591.14 - 2593.14] антиквариат,
[2593.14 - 2595.14] мопсики,
[2595.14 - 2597.14] как я это называю,
[2597.14 - 2599.14] ирония,
[2599.14 - 2601.14] определенная.
[2601.14 - 2603.14] И очень большое
[2603.14 - 2605.14] внимание к форму.
[2605.14 - 2607.14] Это черта стиля вообще?
[2607.14 - 2609.14] Нет, ирония.
[2609.14 - 2611.14] Это именно его просто какой-то прикол?
[2611.14 - 2613.14] Это прикол сегодняшнего времени.
[2613.14 - 2615.14] Сегодняшнего времени чуть-чуть.
[2615.14 - 2617.14] Посмотренниско.
[2617.14 - 2619.14] Смотри, убери вот эту вот капустку
[2619.14 - 2621.14] моя любимую на ножках отсюда.
[2621.14 - 2623.14] Устатичный,
[2623.14 - 2625.14] достойный,
[2625.14 - 2627.14] богатый, никакой интерьер.
[2627.14 - 2629.14] То есть это
[2629.14 - 2631.14] эмоциональная, как бы сбивка пафоса.
[2631.14 - 2633.14] Вот.
[2633.14 - 2635.14] Вот ироничность, оно дает,
[2635.14 - 2637.14] сбивает пафосы.
[2637.14 - 2639.14] Вот, да, то есть
[2639.14 - 2641.14] по счастью,
[2641.14 - 2643.14] в падению же аграж
[2643.14 - 2645.14] и вот этот стиль называется
[2645.14 - 2647.14] «Канж»
[2647.14 - 2649.14] Это такое
[2649.14 - 2651.14] «Обшарпе».
[2651.14 - 2653.14] Но мы понимаем, что это
[2653.14 - 2655.14] «Обшарпе», но это
[2655.14 - 2657.14] не убитые хлопы
[2657.14 - 2659.14] под Москвой.
[2659.14 - 2661.14] Это
[2661.14 - 2663.14] любование
[2663.14 - 2665.14] истории, сохранение.
[2665.14 - 2667.14] Здесь нет игры
[2667.14 - 2669.14] в состарении
[2669.14 - 2671.14] искусственной.
[2671.14 - 2673.14] Как это называется?
[2673.14 - 2675.14] В состарении.
[2675.14 - 2677.14] Да, здесь бутафои нет.
[2677.14 - 2679.14] Да, вот это
[2679.14 - 2681.14] Ардыко
[2681.14 - 2683.14] современное.
[2683.14 - 2685.14] Причем это в Мексентмач
[2685.14 - 2687.14] это Кель Вислер
[2687.14 - 2689.14] который одна из самых
[2689.14 - 2691.14] смельчайших
[2691.14 - 2693.14] и, знаешь, вот это я
[2693.14 - 2695.14] ее узнают все.
[2695.14 - 2697.14] У нее есть либо адепты
[2697.14 - 2699.14] либо просто
[2699.14 - 2701.14] называютой игрой «Сумасшедший».
[2701.14 - 2703.14] Но ее
[2703.14 - 2705.14] такой
[2705.14 - 2707.14] ДНК
[2707.14 - 2709.14] несмотря на то, что она
[2709.14 - 2711.14] американка, а как несмотря на то, что
[2711.14 - 2713.14] американого американца, то уже ДНК
[2713.14 - 2715.14] Ардыко
[2715.14 - 2717.14] Это Ардыкошное все-таки
[2717.14 - 2719.14] это такая прям вот
[2719.14 - 2721.14] вот, посмотрите.
[2721.14 - 2723.14] Дальше, пожалуйста.
[2723.14 - 2725.14] Один из самых сложнейших
[2725.14 - 2727.14] декорат, представляешь, да?
[2727.14 - 2729.14] Как
[2729.14 - 2731.14] как
[2731.14 - 2733.14] кем надо быть, чтобы
[2733.14 - 2735.14] это внутри вынести все.
[2735.14 - 2737.14] А вот так
[2737.14 - 2739.14] совсем другая эстетика Юли
[2739.14 - 2741.14] Галавской.
[2741.14 - 2743.14] И это такая, знаешь, как бы
[2743.14 - 2745.14] тема настальжи.
[2745.14 - 2747.14] Причем настальжи не просто
[2747.14 - 2749.14] международное такого не бывает.
[2749.14 - 2751.14] Настальжи вот этих вот советских
[2751.14 - 2753.14] нет, тоже не мое, но
[2753.14 - 2755.14] я тут хотя бы
[2755.14 - 2757.14] щадят жители.
[2757.14 - 2759.14] Нет, здесь очень много
[2759.14 - 2761.14] очень таких тонких, хороших
[2761.14 - 2763.14] воздушных. Так безпощадных жителей.
[2763.14 - 2765.14] Тот безпощадный, но это
[2765.14 - 2767.14] же для... это не к жителю.
[2767.14 - 2769.14] Ты готова здесь работать, например? Это не к жителю, кстати говоря.
[2769.14 - 2771.14] Это... у нее нет жилых
[2771.14 - 2773.14] интерпретов. Это все общественные.
[2773.14 - 2775.14] А, тогда, тогда, Наваль, повсюду
[2775.14 - 2777.14] это общественные...
[2777.14 - 2779.14] Они просто брутят, они системы брутят.
[2779.14 - 2781.14] Они грутят, вау. Но это
[2781.14 - 2783.14] надо тебе сказать, это американцы,
[2783.14 - 2785.14] которые вот, вот
[2785.14 - 2787.14] тема... Адекота
[2787.14 - 2789.14] Наварижская. И вот она
[2789.14 - 2791.14] в полной мере вот такая.
[2791.14 - 2793.14] Вот это вот, смотри, вот
[2793.14 - 2795.14] Джузов Диран.
[2795.14 - 2797.14] Систетика Адекова.
[2797.14 - 2799.14] Да, я понимаю. И Келлюбисли,
[2799.14 - 2801.14] Систетика Адекова. Да, очень разная.
[2801.14 - 2803.14] И Юлия Головская
[2803.14 - 2805.14] Систетика Адекова. Но видишь, совсем
[2805.14 - 2807.14] друг. Деталь.
[2807.14 - 2809.14] Да, да, да, да.
[2809.14 - 2811.14] Да, очень разная тема.
[2811.14 - 2813.14] Кирилл Истомин. Очень разная.
[2813.14 - 2815.14] Видишь, это все сомненно.
[2815.14 - 2817.14] Нет, подожди, но это не Ардекова.
[2817.14 - 2819.14] Нет, это не Ардекова. Нет, я ж не про Ардекового.
[2819.14 - 2821.14] Это я тебе говорю. А я, здесь
[2821.14 - 2823.14] это у меня подборка.
[2823.14 - 2825.14] Скажите о том, что вот современники
[2825.14 - 2827.14] очень знаменитые.
[2827.14 - 2829.14] Можно я себе проверю? Востребованную.
[2829.14 - 2831.14] Можно я себе проверю? Вот это вот,
[2831.14 - 2833.14] для меня выглядит как Ардекова.
[2833.14 - 2835.14] Нет, я субборюсь. А очищно, это скорее, знаешь,
[2835.14 - 2837.14] Ардекова, такого позднего
[2837.14 - 2839.14] уровня со стримлайн.
[2839.14 - 2841.14] Это туда.
[2841.14 - 2843.14] Это Ардеков, который перекоит
[2843.14 - 2845.14] функционализм уже.
[2845.14 - 2847.14] Вот стримлайн.
[2847.14 - 2849.14] А вот это такое, мне, это более
[2849.14 - 2851.14] тихий. А это голливудская вообще, да.
[2851.14 - 2853.14] И вот это типа побольше Ардеков, чем
[2853.14 - 2855.14] вот так.
[2855.14 - 2857.14] Да, здесь вообще чуть-чуть.
[2857.14 - 2859.14] Здесь вообще вот подпекает.
[2859.14 - 2861.14] Вот здесь, вот здесь, вот здесь, вот здесь
[2861.14 - 2863.14] полностью. Здесь не просто Ардекова,
[2863.14 - 2865.14] здесь я просто вот в лоб свою.
[2865.14 - 2867.14] Здесь я не вижу Ардекова? Нет, здесь нет.
[2867.14 - 2869.14] Хорошо.
[2869.14 - 2871.14] Здесь, здесь, я вижу какие-то
[2871.14 - 2873.14] нотки. Ну нет,
[2873.14 - 2875.14] меньше всего здесь, меньше всего
[2875.14 - 2877.14] здесь Ардеков, здесь это нет.
[2877.14 - 2879.14] Здесь да, здесь я вижу Ардеков.
[2879.14 - 2881.14] Это не Ардеков, это
[2881.14 - 2883.14] более ранее,
[2883.14 - 2885.14] на много более ранее истории.
[2885.14 - 2887.14] Но я полагаю, что это примерно
[2887.14 - 2893.34] 18 век.
[2893.34 - 2895.34] 18 век.
[2895.34 - 2897.34] А вот это уже Гранжевская
[2897.34 - 2899.34] переработа, это его личный диван.
[2899.34 - 2901.34] И вот это современное, вот это
[2901.34 - 2903.34] Ардеков.
[2903.34 - 2905.34] Я бы сказал, что это Ардеков, я
[2905.34 - 2907.34] шел.
[2907.34 - 2909.34] Это раньше, это раньше.
[2909.34 - 2911.34] Ничего себе.
[2911.34 - 2913.34] Ардеков включает в себя классику,
[2913.34 - 2915.34] включает в каких-то
[2915.34 - 2917.34] этих.
[2917.34 - 2919.34] Ну вот это Ардеков для меня вообще.
[2919.34 - 2921.34] Вот одна из самых Ардековных картин,
[2921.34 - 2923.34] которые здесь я сегодня видел.
[2923.34 - 2925.34] Да.
[2925.34 - 2927.34] И вот это французская Ардеков,
[2927.34 - 2929.34] европейская Ардеков. А вот
[2929.34 - 2931.34] это архитектурская.
[2931.34 - 2935.19] Да, это я примерно тоже уже начинаю
[2935.19 - 2937.19] понимать. Нет, если бы
[2937.19 - 2939.19] я увидела этот интерьер, я бы не
[2939.19 - 2941.19] сказал слово Ардеков, но может я
[2941.19 - 2943.19] ошибаюсь, но я бы не сказал.
[2943.19 - 2945.19] Вот это да, вот это вообще
[2945.19 - 2947.19] вопрос нет.
[2947.19 - 2949.19] Это то же самое интерьер. Я понимаю,
[2949.19 - 2951.19] я понимаю, что это один человек.
[2951.19 - 2953.19] А вот еще есть
[2953.19 - 2955.19] очень важная тема, почему архитектор
[2955.19 - 2957.19] интерьера надо переживать телом.
[2957.19 - 2959.19] Потому что когда мы видим фотографию,
[2959.19 - 2961.19] мы так не живем.
[2961.19 - 2963.19] Мы вот так живем
[2963.19 - 2965.19] и именно тогда
[2965.19 - 2967.19] у нас происходит впечатление.
[2967.19 - 2969.19] Это то, про что я тебе...
[2969.19 - 2971.19] Да, это точно.
[2971.19 - 2973.19] Как сказать, что ребята экраном
[2973.19 - 2975.19] ты не все закроешь.
[2975.19 - 2977.19] Да, абсолютно. Это только конспект.
[2977.19 - 2979.19] Это начало. Вот смотрите,
[2979.19 - 2981.19] мы будем смотреть на это.
[2981.19 - 2983.19] Просто есть ощущение, что сейчас уже, ну как бы, тебе ничего не надо.
[2983.19 - 2985.19] То есть, если что-то захочешь, возьмешься
[2985.19 - 2987.19] вот, не знаю, большой монитор,
[2987.19 - 2989.19] и пойдешь по лугу, гургу, понимаешь, да?
[2989.19 - 2991.19] Ну, я бы...
[2991.19 - 2993.19] И не потратишь 3000 евро.
[2993.19 - 2995.19] Но все,
[2995.19 - 2997.19] такие многие, те,
[2997.19 - 2999.19] которые ко мне приходят, они это понимают.
[2999.19 - 3001.19] Не у всех есть 3000 евро.
[3001.19 - 3003.19] Но они понимают,
[3003.19 - 3005.19] что вот это тача было,
[3005.19 - 3007.19] вот это все, это очень-очень важно.
